ds,yhat
2023-01-01 11:00:00,217.16935453234052
2023-01-01 12:00:00,198.66803583259102
2023-01-01 13:00:00,218.62375830388197
2023-01-01 14:00:00,180.07472571613272
2023-01-01 15:00:00,117.98798058951805
2023-01-01 16:00:00,106.86378392099772
2023-01-01 17:00:00,159.4468655160112
2023-01-01 18:00:00,215.0962119470093
2023-01-01 19:00:00,216.20108497598233
2023-01-01 20:00:00,171.24374193041643
2023-01-01 21:00:00,124.43870588965405
2023-01-01 22:00:00,67.79728753512413
2023-01-02 11:00:00,184.16203350329374
2023-01-02 12:00:00,178.65948094499868
2023-01-02 13:00:00,198.55140856990022
2023-01-02 14:00:00,160.0528716004463
2023-01-02 15:00:00,98.1269893603469
2023-01-02 16:00:00,87.26920603441127
2023-01-02 17:00:00,140.21860593025724
2023-01-02 18:00:00,196.32777437787854
2023-01-02 19:00:00,197.97889627047633
2023-01-02 20:00:00,153.64656270835414
2023-01-02 21:00:00,107.53713266124339
2023-01-02 22:00:00,51.653349988152016
2023-01-03 11:00:00,179.4875921287063
2023-01-03 12:00:00,174.71612473063487
2023-01-03 13:00:00,195.28816693764628
2023-01-03 14:00:00,157.41565326660287
2023-01-03 15:00:00,96.05936803355254
2023-01-03 16:00:00,85.71320566242542
2023-01-03 17:00:00,139.11547588042686
2023-01-03 18:00:00,195.61874506316673
2023-01-03 19:00:00,197.60590626671495
2023-01-03 20:00:00,153.55294885627094
2023-01-03 21:00:00,107.6682752650973
2023-01-03 22:00:00,51.95726598151286
2023-01-04 11:00:00,179.1756847177197
2023-01-04 12:00:00,174.2973080565465
2023-01-04 13:00:00,194.77447607450048
2023-01-04 14:00:00,156.8219192022893
2023-01-04 15:00:00,95.40273718659631
2023-01-04 16:00:00,85.0126363838373
2023-01-04 17:00:00,138.39121989019992
2023-01-04 18:00:00,194.89182234663411
2023-01-04 19:00:00,196.89758177562825
2023-01-04 20:00:00,152.88421943188033
2023-01-04 21:00:00,107.05937469065705
2023-01-04 22:00:00,51.42719602089056
2023-01-05 11:00:00,180.26099755180434
2023-01-05 12:00:00,175.44734189057775
2023-01-05 13:00:00,195.96746377299866
2023-01-05 14:00:00,158.03459733937112
2023-01-05 15:00:00,96.61080343052214
2023-01-05 16:00:00,86.19123953854046
2023-01-05 17:00:00,139.515475353341
2023-01-05 18:00:00,195.93734501415776
2023-01-05 19:00:00,197.84102854084313
2023-01-05 20:00:00,153.7038325073912
2023-01-05 21:00:00,107.73551746916714
2023-01-05 22:00:00,51.942872989034
2023-01-06 11:00:00,179.04978665291043
2023-01-06 12:00:00,174.3041558314908
2023-01-06 13:00:00,194.94476848164675
2023-01-06 14:00:00,157.18839282734177
2023-01-06 15:00:00,96.00007321679242
2023-01-06 16:00:00,85.87733928107585
2023-01-06 17:00:00,139.56146709915038
2023-01-06 18:00:00,196.40728427225451
2023-01-06 19:00:00,198.7992121108737
2023-01-06 20:00:00,155.21401565042035
2023-01-06 21:00:00,109.86010963599017
2023-01-06 22:00:00,54.74212135988185
2023-01-07 11:00:00,193.74168646299478
2023-01-07 12:00:00,189.8853848075927
2023-01-07 13:00:00,211.36648952601985
2023-01-07 14:00:00,174.3924831217874
2023-01-07 15:00:00,113.91939921658643
2023-01-07 16:00:00,104.4361323690518
2023-01-07 17:00:00,158.675797370534
2023-01-07 18:00:00,215.9856285449194
2023-01-07 19:00:00,218.7431113685455
2023-01-07 20:00:00,175.41881587609012
2023-01-07 21:00:00,130.21577906616704
2023-01-07 22:00:00,75.1341362039247
